Fahrer	Minuten	Sekunden	Tausendstel	Zeit (s)	Zeitstr	Erfasst am
Olli	1	30	123	90.123	1:30:123	13.10.2025 13:40:34
Olli	1	29	123	89.123	1:29:123	13.10.2025 13:40:42
Olli	1	28	123	88.123	1:28:123	13.10.2025 13:40:43
Olli	1	27	123	87.123	1:27:123	13.10.2025 13:41:09
Olli	1	27	569	87.569	1:27:569	13.10.2025 13:41:19
Marius	1	28	569	88.569	1:28:569	13.10.2025 13:42:03
Marius	1	29	569	89.569	1:29:569	13.10.2025 13:42:05
Marius	1	27	569	87.569	1:27:569	13.10.2025 13:42:06
Ingo	1	27	569	87.569	1:27:569	13.10.2025 13:42:20
Ingo	1	27	570	87.57	1:27:570	13.10.2025 13:42:22
Ingo	1	27	571	87.571	1:27:571	13.10.2025 13:42:24
Micha	1	28	571	88.571	1:28:571	13.10.2025 13:42:35
Micha	1	28	773	88.773	1:28:773	13.10.2025 13:42:38
Micha	1	28	973	88.973	1:28:973	13.10.2025 13:42:40
Hase	1	27	973	87.973	1:27:973	13.10.2025 13:42:50
Hase	1	27	573	87.573	1:27:573	13.10.2025 13:42:51
Hase	1	27	103	87.103	1:27:103	13.10.2025 13:42:56
Hase	1	27	103	87.103	1:27:103	13.10.2025 13:43:04
Hase	1	27	103	87.103	1:27:103	13.10.2025 13:43:05
Mitsch	1	26	103	86.103	1:26:103	13.10.2025 13:43:25
Mitsch	1	26	981	86.981	1:26:981	13.10.2025 13:43:28
Mitsch	1	29	981	89.981	1:29:981	13.10.2025 13:43:33
Schmolli	1	25	981	85.981	1:25:981	13.10.2025 13:45:16
Schmolli	1	26	781	86.781	1:26:781	13.10.2025 13:45:28
Schmolli	1	27	481	87.481	1:27:481	13.10.2025 13:45:32
Frank	1	27	500	87.5	1:27:500	13.10.2025 14:17:05
Frank	1	28	500	88.5	1:28:500	13.10.2025 14:17:07
Frank	1	26	500	86.5	1:26:500	13.10.2025 14:17:09
Nico	1	27	500	87.5	1:27:500	13.10.2025 14:17:27
Nico	1	27	120	87.12	1:27:120	13.10.2025 14:17:30
Nico	1	27	720	87.72	1:27:720	13.10.2025 14:17:34
Nico	1	27	933	87.933	1:27:933	13.10.2025 14:17:40
